书名,作者,时间,rar下载,txt下载,相关度,介绍
007前传·银鳍,[英]查理·汉格森,2011/10/22 11:56,https://xiazai.xqishu.com/rar/007前传·银鳍.rar,https://xiazai.xqishu.com/txt/007前传·银鳍.txt,0,暂无
16岁未婚妻,幻月痕,2011/10/24 13:46,https://xiazai.xqishu.com/rar/16岁未婚妻.rar,https://xiazai.xqishu.com/txt/16岁未婚妻.txt,0,朱婷婷是一个十六岁的高一学生。五一节的前一天她从爷爷的口中得知自己有一个指腹为婚的未婚夫，这个未婚夫还比自己大十一岁
1年7班恶男团,七喜,2011/10/27 1:22,https://xiazai.xqishu.com/rar/1年7班恶男团.rar,https://xiazai.xqishu.com/txt/1年7班恶男团.txt,0,jar电子书格式
1王9宫12帅,郭妮,2012/2/22 12:39,https://xiazai.xqishu.com/rar/1王9宫12帅.rar,https://xiazai.xqishu.com/txt/1王9宫12帅.txt,0,为了赢得胜利，乐小莲决定拉拢沈雪池，而冷漠甚至有些自闭的沈雪池一心想找出酿成车祸的“罪魁祸首”。没想到这个人竟然就是嚣张的萧岩风！
7号禁猎区,泠墨然,2011/10/18 3:30,https://xiazai.xqishu.com/rar/7号禁猎区.rar,https://xiazai.xqishu.com/txt/7号禁猎区.txt,0,地球少女毛安安忽悠众多美男的奇妙之旅
DarkMoon,长空映雪,2011/10/18 3:30,https://xiazai.xqishu.com/rar/DarkMoon.rar,https://xiazai.xqishu.com/txt/DarkMoon.txt,0,他看着美丽的女子红唇微张，微笑着狠狠吻上去。
阿宝公主,于晴,2011/10/22 19:27,https://xiazai.xqishu.com/rar/阿宝公主.rar,https://xiazai.xqishu.com/txt/阿宝公主.txt,0,暂无
爱得漂亮又gogo,冬儿,2011/10/24 0:57,https://xiazai.xqishu.com/rar/爱得漂亮又gogo.rar,https://xiazai.xqishu.com/txt/爱得漂亮又gogo.txt,0,瞧他一动也不动的——脸上还有血！她真的什么都想不起来了！
爱的魔咒,解__,2011/10/23 20:29,https://xiazai.xqishu.com/rar/爱的魔咒.rar,https://xiazai.xqishu.com/txt/爱的魔咒.txt,0,不要以为梦幻永远是虚幻的，不要以为魔法只是舞台上的错觉。当某一天，梦幻与现实的平行突然改变轨迹，魔法可不只是想找你开个玩笑。《爱的魔咒》延续《我为歌狂》、《爱上爱情》两本书的青春校园主题，别出心裁地创意了一个关于“幻影岛”的漫画，由天使主管的地界——幻影岛，分为明界与暗域两部分，他们的代表人物分别为明界战士光和暗域魔法师影两人。而在现实中，天使、光和影都因龙域学院的漫画社团而聚在一起
爱的漩涡,伊恩·弗莱明,2011/10/22 11:56,https://xiazai.xqishu.com/rar/爱的漩涡.rar,https://xiazai.xqishu.com/txt/爱的漩涡.txt,0,暂无
